학교명,학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,시도코드,시도명,소재지도로명주소,소재지지번주소,도로명우편번호,소재지우편번호,홈페이지주소,대표전화번호,대표팩스번호,설립일자,기준연도,데이터기준일자,제공기관코드,제공기관명,주소_clean,sido,sigungu,카운트지역
한국폴리텍 VII 대학 울산캠퍼스,Ulsan Campus Of Korea Polytechnic,본교,전문대학,기능대학,사립,31,울산광역시,"울산광역시 중구 산전길 155 (동동, 한국폴리텍7대학울산캠퍼스)",,44482,,kopo.ac.kr/ulsan,052-290-1500,052-290-1519,2000-01-01,2024,2025-01-08,B340014,한국대학교육협의회,울산광역시 중구 산전길 155,울산광역시,중구,울산광역시
한국폴리텍 VII 대학 진주캠퍼스,KOREAPOLYTECHNICS JINJU CAMPUS,본교,전문대학,기능대학,사립,48,경상남도,경상남도 진주시 모덕로 299(하대동),,52766,,jinju.kopo.ac.kr,055-752-9901,055-752-0819,,2024,2025-01-08,B340014,한국대학교육협의회,경상남도 진주시 모덕로 299,경상남도,진주시,진주시
한국폴리텍 VII 대학 창원캠퍼스,Korea Polytechnic Vii,본교,전문대학,기능대학,사립,48,경상남도,"경상남도 창원시 성산구 외동반림로 51-88 (중앙동, 한국폴리텍VII대학)",,51518,,changwon.kopo.ac.kr,055-279-1700,055-279-1749,1977-11-19,2024,2025-01-08,B340014,한국대학교육협의회,경상남도 창원시 성산구 외동반림로 51-88,경상남도,창원시,창원시
한국폴리텍 특성화대학 로봇캠퍼스,robot campus of korea polytechnic,본교,전문대학,기능대학,사립,47,경상북도,경상북도 영천시 로봇캠퍼스로 1 (화룡동),,38839,,www.kopo.ac.kr/robot/index.do,054-706-1000,054-706-1080,,2024,2025-01-08,B340014,한국대학교육협의회,경상북도 영천시 로봇캠퍼스로 1,경상북도,영천시,영천시
한국폴리텍 특성화대학 바이오캠퍼스,Bio Campus Of Korea Polytechnic,본교,전문대학,기능대학,사립,44,충청남도,충청남도 논산시 강경읍 동안로112번길 48,,32943,,kopo.ac.kr/bio,041-746-7300,041-746-7310,2006-03-01,2024,2025-01-08,B340014,한국대학교육협의회,충청남도 논산시 강경읍 동안로112번길 48,충청남도,논산시,논산시
한국폴리텍 특성화대학 항공캠퍼스,Aviation Campus Of Korea Polytechnic,본교,전문대학,기능대학,사립,48,경상남도,"경상남도 사천시 대학길 46 (이금동, 한국폴리텍항공대학)",,52549,,www.kopo.ac.kr/kapc,055-830-3400,055-830-3414,2000-11-30,2024,2025-01-08,B340014,한국대학교육협의회,경상남도 사천시 대학길 46,경상남도,사천시,사천시
한림성심대학교,Hallym Polytechnic University,본교,전문대학,전문대학,사립,51,강원특별자치도,강원특별자치도 춘천시 동면 장학길 48,,24210,,www.hsc.ac.kr,033-240-9000,033-252-9462,1939-04-01,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 춘천시 동면 장학길 48,강원특별자치도,춘천시,춘천시
한영대학교,Hanyeong University,본교,전문대학,전문대학,사립,46,전라남도,"전라남도 여수시 장군산길 18-43 (여서동, 한영대학)",,59720,,www.hanyeong.ac.kr,061-650-4109,061-650-4020,1992-12-11,2024,2025-01-08,B340014,한국대학교육협의회,전라남도 여수시 장군산길 18-43,전라남도,여수시,여수시
혜전대학교,Hyejeon College,본교,전문대학,전문대학,사립,44,충청남도,충청남도 홍성군 홍성읍 대학1길 19,,32244,,www.hj.ac.kr,041-630-2455,041-634-6425,1981-12-10,2024,2025-01-08,B340014,한국대학교육협의회,충청남도 홍성군 홍성읍 대학1길 19,충청남도,홍성군,홍성군
호산대학교,Hosan University,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 경산시 하양읍 대경로105길 19 (부호리, 호산대학교)",,38428,,www.hosan.ac.kr,053-850-8000,053-853-9715,1992-03-09,2024,2025-01-08,B340014,한국대학교육협의회,경상북도 경산시 하양읍 대경로105길 19,경상북도,경산시,경산시
가야대학교 보건대학원(김해),Kaya University Gredaut School Of Public Health,본교,대학원,특수대학원,사립,48,경상남도,경상남도 김해시 삼계로 208 (삼계동),,50830,,www.kaya.ac.kr,055-330-1000,055-331-0983,2011-11-15,2024,2025-01-08,B340014,한국대학교육협의회,경상남도 김해시 삼계로 208,경상남도,김해시,김해시
한국농수산대학교,Korea National University Of Agriculture And Fisheries,본교,전문대학,전문대학,특별법국,52,전북특별자치도,전북특별자치도 전주시 덕진구 콩쥐팥쥐로 1515(중동),,54874,,www.af.ac.kr,063-238-9114,063-238-9719,1997-03-20,2024,2025-01-08,B340014,한국대학교육협의회,전북특별자치도 전주시 덕진구 콩쥐팥쥐로 1515,전북특별자치도,전주시,전주시
한국복지사이버대학교,Corea Welfare Cyber University,본교,전문대학,사이버대학(전문),사립,47,경상북도,경상북도 경산시 남천면 남천로 746-10 (협석리),,38695,,www.corea.ac.kr,1644-9775,053-815-6500,2010-09-09,2024,2025-01-08,B340014,한국대학교육협의회,경상북도 경산시 남천면 남천로 746-10,경상북도,경산시,경산시
한국승강기대학교,Korea Lift College,본교,전문대학,전문대학,사립,48,경상남도,"경상남도 거창군 거창읍 운정1길 120 (송정리, 한국승강기대학)",,50141,,www.klc.ac.kr,055-949-2220,055-949-2222,2010-03-01,2024,2025-01-08,B340014,한국대학교육협의회,경상남도 거창군 거창읍 운정1길 120,경상남도,거창군,거창군
한국영상대학교,Korea University Of Media Arts,본교,전문대학,전문대학,사립,36,세종특별자치시,"세종특별자치시 장군면 대학길 300 (금암리, 한국영상대학)",,30056,,www.pro.ac.kr,044-850-9000,044-850-9008,1992-12-11,2024,2025-01-08,B340014,한국대학교육협의회,세종특별자치시 장군면 대학길 300,세종특별자치시,장군,세종특별자치시
한국폴리텍 I 대학 제주캠퍼스,Jeju Campus Of Korea Polytechnic,본교,전문대학,기능대학,사립,50,제주특별자치도,"제주특별자치도 제주시 산천단동3길 2 (아라일동, 한국폴리택대학제주캠퍼스)",,63243,,jeju.kopo.ac.kr,064-754-7100,064-754-7112,1987-07-10,2024,2025-01-08,B340014,한국대학교육협의회,제주특별자치도 제주시 산천단동3길 2,제주특별자치도,제주시,제주시
한국폴리텍 III 대학 강릉캠퍼스,Gangneung Campus Of Korea PolytechnicsⅢ,본교,전문대학,기능대학,사립,51,강원특별자치도,강원특별자치도 강릉시 남산초교길 121 (노암동),,25605,,kopo.ac.kr/gangneung,033-610-6111,033-610-6119,2008-03-02,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 강릉시 남산초교길 121,강원특별자치도,강릉시,강릉시
한국폴리텍 III 대학 원주캠퍼스,Wonju Campus Of Korea Polytechnic,본교,전문대학,기능대학,사립,51,강원특별자치도,강원특별자치도 원주시 북원로2425번길 73 (우산동),,26406,,kopo.ac.kr/wonju,033-741-7000,033-741-7029,1978-04-06,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 원주시 북원로2425번길 73,강원특별자치도,원주시,원주시
한국폴리텍 III 대학 춘천캠퍼스,Chuncheon Campus Of Korea Polytechnic,본교,전문대학,기능대학,사립,51,강원특별자치도,강원특별자치도 춘천시 동산면 영서로 1290-31,,24409,,www.kopo.ac.kr/chuncheon/index.do,033-260-7654,033-262-7606,1973-10-11,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 춘천시 동산면 영서로 1290-31,강원특별자치도,춘천시,춘천시
한국폴리텍 IV 대학 대전캠퍼스,Daejeon Campus of Korea Polytechnic IV,본교,전문대학,기능대학,사립,30,대전광역시,"대전광역시 동구 우암로 352-21 (가양동, 한국폴리텍IV대학)",,34503,,www.kopo.ac.kr,042-670-0600,042-670-0589,2006-05-19,2024,2025-01-08,B340014,한국대학교육협의회,대전광역시 동구 우암로 352-21,대전광역시,동구,대전광역시
한국폴리텍 IV 대학 아산캠퍼스,Asan Campus Of Korea Polytechnic IV,본교,전문대학,기능대학,사립,44,충청남도,"충청남도 아산시 신창면 행목로 45 (행목리, 한국폴리텍Ⅳ대학아산캠퍼스)",,31533,,kopo.ac.kr/asan,041-539-9300,041-532-0300,2002-03-02,2024,2025-01-08,B340014,한국대학교육협의회,충청남도 아산시 신창면 행목로 45,충청남도,아산시,아산시
한국폴리텍 IV 대학 청주캠퍼스,Cheongju Campus Of Korea Polytechnic IV,본교,전문대학,기능대학,사립,43,충청북도,"충청북도 청주시 흥덕구 산단로 54 (송정동, 한국폴리텍Ⅳ대학청주캠퍼스)",,28590,,kopo.ac.kr/cheongju,043-279-7400,043-279-7477,1977-05-06,2024,2025-01-08,B340014,한국대학교육협의회,충청북도 청주시 흥덕구 산단로 54,충청북도,청주시,청주시
한국폴리텍 V 대학 광주캠퍼스,Gwangju Campus Of Korea Polytechnic V,본교,전문대학,기능대학,사립,29,광주광역시,"광주광역시 북구 하서로 85 (운암동, 한국폴리텍V대학)",,61099,,www.kopo.ac.kr/gwangju,062-519-7114,062-519-7039,1994-07-01,2024,2025-01-08,B340014,한국대학교육협의회,광주광역시 북구 하서로 85,광주광역시,북구,광주광역시
한국폴리텍 V 대학 순천캠퍼스,Suncheon Campus Of Korea Polytechnic V,본교,전문대학,기능대학,사립,46,전라남도,"전라남도 순천시 기적의도서관1길 41 (조례동, 한국폴리텍대학순천캠퍼스)",,57975,,kopo.ac.kr/suncheon,061-721-0300,061-721-5280,1977-05-20,2024,2025-01-08,B340014,한국대학교육협의회,전라남도 순천시 기적의도서관1길 41,전라남도,순천시,순천시
한국폴리텍 V 대학 익산캠퍼스,Iksan Campus Of Korea Polytechnic V,본교,전문대학,기능대학,사립,52,전북특별자치도,"전북특별자치도 익산시 선화로 579 (어양동, 한국폴리텍V대학)",,54567,,www.kopo.ac.kr/iksan,063-830-3000,063-830-3026,2008-03-02,2024,2025-01-08,B340014,한국대학교육협의회,전북특별자치도 익산시 선화로 579,전북특별자치도,익산시,익산시
한국폴리텍 V 대학 전남캠퍼스,Jeonnam Campus Of Korea Polytechnic V College,본교,전문대학,기능대학,사립,46,전라남도,전라남도 무안군 청계면 영산로 1854-16,,58542,,www.kopo.ac.kr/jeonnam,061-450-7220,061-450-7224,1996-03-01,2024,2025-01-08,B340014,한국대학교육협의회,전라남도 무안군 청계면 영산로 1854-16,전라남도,무안군,무안군
한국폴리텍 V 대학 전북캠퍼스,Jeounbuk Campus Of Korea Polytechnics,본교,전문대학,기능대학,사립,52,전북특별자치도,"전북특별자치도 김제시 백학제길 154 (백학동, 한국폴리텍V대학)",,54352,,www.kopo.ac.kr/jb/index.do,063-540-7620,063-540-7625,1995-03-02,2024,2025-01-08,B340014,한국대학교육협의회,전북특별자치도 김제시 백학제길 154,전북특별자치도,김제시,김제시
전남과학대학교,Chunnam Techno University,본교,전문대학,전문대학,사립,46,전라남도,전라남도 곡성군 옥과면 대학로 113 (옥과리),,57500,,www.cntu.ac.kr,061-360-5000,061-363-5020,1990-12-19,2024,2025-01-08,B340014,한국대학교육협의회,전라남도 곡성군 옥과면 대학로 113,전라남도,곡성군,곡성군
전남도립대학교,Jeonnam State University,본교,전문대학,전문대학,공립,46,전라남도,"전라남도 담양군 담양읍 죽녹원로 152 (향교리, 전남도립대학)",,57337,,www.dorip.ac.kr,061-380-8419,061-381-9100,1998-03-13,2024,2025-01-08,B340014,한국대학교육협의회,전라남도 담양군 담양읍 죽녹원로 152,전라남도,담양군,담양군
전북과학대학교,Jeonbuk Science College,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 정읍시 정읍사로 509 (시기동, 전북과학대학)",,56204,,www.jbsc.ac.kr,063-530-9114,063-532-3768,1994-11-17,2024,2025-01-08,B340014,한국대학교육협의회,전북특별자치도 정읍시 정읍사로 509,전북특별자치도,정읍시,정읍시
전주기전대학,Jeonju Kijeon College,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 전주시 완산구 전주천서로 267 (중화산동1가, 전주기전대학)",,54989,,www.kijeon.ac.kr,063-280-5208,063-231-6415,1974-03-21,2024,2025-01-08,B340014,한국대학교육협의회,전북특별자치도 전주시 완산구 전주천서로 267,전북특별자치도,전주시,전주시
전주비전대학교,Vision College Of Jeonju,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 전주시 완산구 천잠로 235 (효자동2가, 전주비전대학)",,55069,,www.jvision.ac.kr,063-220-4114,063-220-3629,1976-01-24,2024,2025-01-08,B340014,한국대학교육협의회,전북특별자치도 전주시 완산구 천잠로 235,전북특별자치도,전주시,전주시
제주관광대학교,Jeju Tourism University,본교,전문대학,전문대학,사립,50,제주특별자치도,"제주특별자치도 제주시 애월읍 평화로 2715 (광령리, 제주관광대학)",,63063,,www.jtu.ac.kr,064-740-8700,064-748-2829,1992-12-11,2024,2025-01-08,B340014,한국대학교육협의회,제주특별자치도 제주시 애월읍 평화로 2715,제주특별자치도,제주시,제주시
제주산업정보대학,Jeju College Of Technology,본교,전문대학,전문대학,사립,50,제주특별자치도,"제주특별자치도 제주시 516로 2870 (영평동, 제주산업정보대학)",,63309,,www.jeju.ac.kr,064-754-0215,064-702-8330,1972-12-14,2024,2025-01-08,B340014,한국대학교육협의회,제주특별자치도 제주시 516로 2870,제주특별자치도,제주시,제주시
제주한라대학교,Cheju Halla University,본교,전문대학,전문대학,사립,50,제주특별자치도,"제주특별자치도 제주시 한라대학로 38 (노형동, 제주한라대학)",,63092,,www.chu.ac.kr,064-741-7575,064-747-3989,1969-03-30,2024,2025-01-08,B340014,한국대학교육협의회,제주특별자치도 제주시 한라대학로 38,제주특별자치도,제주시,제주시
조선간호대학교,Chosun Nursing College,본교,전문대학,전문대학,사립,29,광주광역시,광주광역시 동구 조선대2길 70(서석동),,61453,,www.cnc.ac.kr,062-231-7000,062-231-7019,1971-12-23,2024,2025-01-08,B340014,한국대학교육협의회,광주광역시 동구 조선대2길 70,광주광역시,동구,광주광역시
진주보건대학교,Jinju Health College,본교,전문대학,전문대학,사립,48,경상남도,"경상남도 진주시 의병로 51 (상봉동, 진주보건대학)",,52655,,www.jhc.ac.kr,055-740-1700,055-743-3010,1971-12-23,2024,2025-01-08,B340014,한국대학교육협의회,경상남도 진주시 의병로 51,경상남도,진주시,진주시
창신대학,Changshin College,본교,전문대학,전문대학,사립,48,경상남도,"경상남도 창원시 마산회원구 팔용로 262 (합성동, 창신대학)",,51352,,www.csc.ac.kr,055-250-3004,055-250-3190,1991-03-07,2024,2025-01-08,B340014,한국대학교육협의회,경상남도 창원시 마산회원구 팔용로 262,경상남도,창원시,창원시
창원문성대학교,Changwon Moonsung University,본교,전문대학,전문대학,사립,48,경상남도,경상남도 창원시 성산구 충혼로 91(두대동),,51410,,www.cmu.ac.kr,055-279-5114,055-279-5086,1978-12-28,2024,2025-01-08,B340014,한국대학교육협의회,경상남도 창원시 성산구 충혼로 91,경상남도,창원시,창원시
청암대학교,Cheongam College,본교,전문대학,전문대학,사립,46,전라남도,"전라남도 순천시 녹색로 1641 (덕월동, 순천청암대학)",,57997,,ca.ac.kr,061-740-7100,061-743-6414,1954-04-01,2024,2025-01-08,B340014,한국대학교육협의회,전라남도 순천시 녹색로 1641,전라남도,순천시,순천시
춘해보건대학교,Choonhae College Of Health Sciences,본교,전문대학,전문대학,사립,31,울산광역시,"울산광역시 울주군 웅촌면 대학길 9 (곡천리, 춘해보건대학)",,44965,,www.ch.ac.kr,052-270-0100,052-225-9889,1968-03-16,2024,2025-01-08,B340014,한국대학교육협의회,울산광역시 울주군 웅촌면 대학길 9,울산광역시,울주군,울산광역시
충남도립대학교,Chungnam State University,본교,전문대학,전문대학,공립,44,충청남도,"충청남도 청양군 청양읍 학사길 55 (벽천리, 충남도립대학교)",,33303,,www.cnsu.ac.kr,041-635-6600,041-635-7950,1998-03-19,2024,2025-01-08,B340014,한국대학교육협의회,충청남도 청양군 청양읍 학사길 55,충청남도,청양군,청양군
충북도립대학교,Chungbuk Provincial University,본교,전문대학,전문대학,공립,43,충청북도,충청북도 옥천군 옥천읍 대학길 15 (문정리),,29046,,www.cpu.ac.kr,043-220-5313,043-220-5319,1998-03-06,2024,2025-01-08,B340014,한국대학교육협의회,충청북도 옥천군 옥천읍 대학길 15,충청북도,옥천군,옥천군
충북보건과학대학교,Chungbuk Health And Science University,본교,전문대학,전문대학,사립,43,충청북도,"충청북도 청주시 청원구 내수읍 덕암길 10 (덕암리, 충북보건과학대학교)",,28150,,www.chsu.ac.kr,043-210-8133,043-210-8305,1992-03-12,2024,2025-01-08,B340014,한국대학교육협의회,충청북도 청주시 청원구 내수읍 덕암길 10,충청북도,청주시,청주시
충청대학교,Chungcheong University,본교,전문대학,전문대학,사립,43,충청북도,"충청북도 청주시 흥덕구 강내면 월곡길 38 (월곡리, 충청대학)",,28171,,www.ok.ac.kr,043-230-2114,043-230-2115,1982-12-10,2024,2025-01-08,B340014,한국대학교육협의회,충청북도 청주시 흥덕구 강내면 월곡길 38,충청북도,청주시,청주시
포항대학교,Pohang University,본교,전문대학,전문대학,사립,47,경상북도,경상북도 포항시 북구 흥해읍 포항대학로 7,,37555,,www.pohang.ac.kr,054-251-8000,054-252-5005,1952-07-03,2024,2025-01-08,B340014,한국대학교육협의회,경상북도 포항시 북구 흥해읍 포항대학로 7,경상북도,포항시,포항시
한국골프과학기술대학교,Korea Golf University of Science & Technology,본교,전문대학,전문대학,사립,51,강원특별자치도,강원특별자치도 횡성군 우천면 하대5길 109,,25247,,www.kg.ac.kr,033-810-1041,033-810-1001,2011-03-01,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 횡성군 우천면 하대5길 109,강원특별자치도,횡성군,횡성군
신성대학교,Shinsung University,본교,전문대학,전문대학,사립,44,충청남도,"충청남도 당진시 정미면 대학로 1 (덕마리, 신성대학교)",,31801,,www.shinsung.ac.kr,041-350-1114,041-350-1075,1995-03-01,2024,2025-01-08,B340014,한국대학교육협의회,충청남도 당진시 정미면 대학로 1,충청남도,당진시,당진시
아주자동차대학교,Ajou Motor College,본교,전문대학,전문대학,사립,44,충청남도,충청남도 보령시 주포면 대학길 106,,33415,,www.motor.ac.kr,041-939-3008,041-939-3457,1994-11-17,2024,2025-01-08,B340014,한국대학교육협의회,충청남도 보령시 주포면 대학길 106,충청남도,보령시,보령시
안동과학대학교,Andong Science College,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 안동시 서후면 서선길 189 (교리, 안동과학대학교)",,36616,,www.asc.ac.kr,054-851-3500,054-852-9907,1983-03-01,2024,2025-01-08,B340014,한국대학교육협의회,경상북도 안동시 서후면 서선길 189,경상북도,안동시,안동시
연암공과대학교,Yonam Institute Of Technology,본교,전문대학,전문대학,사립,48,경상남도,"경상남도 진주시 진주대로 629번길 35(가좌동, 연암공과대학교)",,52821,,www.yc.ac.kr,055-751-2000,055-751-2096,1984-05-09,2024,2025-01-08,B340014,한국대학교육협의회,경상남도 진주시 진주대로 629번길 35,경상남도,진주시,진주시
연암대학교,Yonam College,본교,전문대학,전문대학,사립,44,충청남도,"충청남도 천안시 서북구 성환읍 연암로 313 (수향리, 천안연암대학)",,31005,,www.yonam.ac.kr,041-580-1114,041-581-0401,1977-01-19,2024,2025-01-08,B340014,한국대학교육협의회,충청남도 천안시 서북구 성환읍 연암로 313,충청남도,천안시,천안시
영남이공대학교,Yeungnam University College,본교,전문대학,전문대학,사립,27,대구광역시,"대구광역시 남구 현충로 170 (대명동, 영남이공대학)",,42415,,www.ync.ac.kr,053-650-9114,053-624-7871,1968-02-15,2024,2025-01-08,B340014,한국대학교육협의회,대구광역시 남구 현충로 170,대구광역시,남구,대구광역시
영진사이버대학교,YEUNGJIN CYBER UNIVERSITY,본교,전문대학,사이버대학(전문),사립,27,대구광역시,"대구광역시 북구 복현로 35 (복현동, 영진전문대학)",,41527,,www.ycc.ac.kr,053-940-5500,053-940-5614,2002-03-01,2024,2025-01-08,B340014,한국대학교육협의회,대구광역시 북구 복현로 35,대구광역시,북구,대구광역시
우송정보대학,Woosong College,본교,전문대학,전문대학,사립,30,대전광역시,대전광역시 동구 백룡로 59(자양동 101-17) 우송정보대학,,34518,,www.wsi.ac.kr,042-629-6114,042-629-6653,1963-01-18,2024,2025-01-08,B340014,한국대학교육협의회,대전광역시 동구 백룡로 59 우송정보대학,대전광역시,동구,대전광역시
울산과학대학교,Ulsan College,본교,전문대학,전문대학,사립,31,울산광역시,"울산광역시 동구 봉수로 101 (화정동, 울산과학대학동부캠퍼스)",,44022,,www.uc.ac.kr,052-230-0500,052-234-9300,1972-12-14,2024,2025-01-08,B340014,한국대학교육협의회,울산광역시 동구 봉수로 101,울산광역시,동구,울산광역시
원광보건대학교,Wonkwang Health Science University,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 익산시 익산대로 514 (신용동, 원광보건대학)",,54538,,www.wu.ac.kr,063-840-1114,063-840-1567,1976-01-24,2024,2025-01-08,B340014,한국대학교육협의회,전북특별자치도 익산시 익산대로 514,전북특별자치도,익산시,익산시
백석문화대학교,Baekseok Culture University,본교,전문대학,전문대학,사립,44,충청남도,충청남도 천안시 동남구 백석대학로 1 (안서동),,31065,,www.bscu.ac.kr,041-550-0700,041-550-9113,1994-03-01,2024,2025-01-08,B340014,한국대학교육협의회,충청남도 천안시 동남구 백석대학로 1,충청남도,천안시,천안시
백제예술대학교,Paekche Institute Of The Arts,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 완주군 봉동읍 백제대학로 171 (제내리, 백제예술대학)",,55313,,www.paekche.ac.kr,063-260-9114,063-263-3607,1991-11-30,2024,2025-01-08,B340014,한국대학교육협의회,전북특별자치도 완주군 봉동읍 백제대학로 171,전북특별자치도,완주군,완주군
부산경상대학교,Busan Kyungsang College,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 연제구 고분로 170 (연산동, 부산경상대학)",,47583,,www.bsks.ac.kr,051-850-1000,051-862-7577,1979-11-15,2024,2025-01-08,B340014,한국대학교육협의회,부산광역시 연제구 고분로 170,부산광역시,연제구,부산광역시
부산과학기술대학교,Busan Institute Of Science And Technology,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 북구 시랑로132번길 88 (구포동, 부산과학기술대학교)",,46639,,bist.ac.kr,051-334-6666,051-330-7027,1976-12-31,2024,2025-01-08,B340014,한국대학교육협의회,부산광역시 북구 시랑로132번길 88,부산광역시,북구,부산광역시
부산보건대학교,Busan Health University,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 사하구 사리로55번길 16 (괴정동, 동주대학)",,49318,,www.bhu.ac.kr/,051-200-3300,051-201-5420,1978-02-16,2024,2025-01-08,B340014,한국대학교육협의회,부산광역시 사하구 사리로55번길 16,부산광역시,사하구,부산광역시
부산여자대학교,Busanwomenscollege,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 부산진구 진남로 506 (양정동, 부산여자대학)",,47228,,www.bwc.ac.kr,051-852-0081,051-867-4705,1979-01-01,2024,2025-01-08,B340014,한국대학교육협의회,부산광역시 부산진구 진남로 506,부산광역시,부산진구,부산광역시
부산예술대학교,Busan Arts College,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 남구 못골번영로71번길 74 (대연동, 부산예술대학)",,48429,,www.busanarts.ac.kr,051-628-3991,051-628-2719,1999-03-01,2024,2025-01-08,B340014,한국대학교육협의회,부산광역시 남구 못골번영로71번길 74,부산광역시,남구,부산광역시
